gene,15635-37c,15635-43c,15635-45c,15635-46c,15635-60c,15635-68c,15635-80c,15635-87c,15635-100c,15635-101c,15635-156c,15635-239c,15635-214c
CTRL_ANT1,9,2,38,9,113,8,0,2,8,17,77,0,48
CTRL_ANT2,7,4,55,17,135,47,7,13,30,82,15,3,8
CTRL_ANT3,16,70,33,20,223,53,31,63,45,76,18,3,53
CTRL_ANT4,6,3,36,25,298,3,5,96,12,20,28,0,0
CTRL_ANT5,0,2,20,0,55,6,2,0,0,0,21,0,20
CTRL_miR_POS,57055,12610,11079,37169,122214,43840,9469,13647,46725,124375,32752,17577,62512
HK_ACTB,1,25,23,0,117,28,83,257,105,25,101,107,29
HK_B2M,16,8,116,46,96,0,74,693,28,0,83,188,0
HK_GAPDH,16229,3539,633,17670,47079,25775,4815,11671,14427,40490,1117,1459,235
HK_PPIA,50,48,140,24,246,41,20,4249,48,20,84,579,89
HK_RNU47,0,0,117,0,169,4,4,372,0,0,38,73,54
HK_RNU75,0,85,557,13,310,43,52,655,12,54,399,149,181
HK_RNY3,1696,1931,2394,320,7840,1766,1455,36545,1588,2453,1188,6297,2030
HK_RPL19,350,412,608,289,1046,579,1264,1058,413,122,804,393,365
HK_RPL27,223,268,135,66,277,217,248,941,143,128,36,186,52
HK_RPS12,19,62,231,20,442,7,64,4224,20,20,89,907,73
HK_RPS20,0,24,34,7,291,26,40,107,34,22,82,37,19
HK_SNORA66,32,62,89,33,107,9,206,191,53,42,53,56,0
HK_YWHAZ,62,81,163,17,141,47,97,1403,154,44,99,225,1
let-7a-2-3p,121,54,68,128,632,233,41,430,193,401,54,92,31
let-7a-3p,48,8,120,38,363,63,10,73,51,96,120,65,122
let-7a-5p,1023,1014,6911,955,3668,2299,4507,7753,984,325,4538,4320,1750
let-7b-5p,2300,1538,23029,706,5311,4526,8827,18018,3009,305,8531,10800,3928
let-7c-3p,19,9,86,25,136,43,38,115,41,41,104,11,73
let-7c-5p,2235,1203,20890,720,4479,4152,8030,13029,2717,494,7339,9890,4878
let-7d-3p,324,168,2613,167,753,545,923,3632,521,234,598,1290,431
let-7d-5p,219,136,771,114,1027,450,565,969,256,38,959,357,258
let-7e-3p,26,15,127,19,92,54,72,146,31,35,66,43,80
let-7e-5p,150,113,456,88,480,271,446,774,174,80,314,305,343
let-7f-1-3p,93,13,89,46,361,112,17,116,42,140,114,28,122
let-7f-2-3p,24,16,90,11,156,13,9,71,42,29,25,6,128
let-7f-5p,418,295,1535,300,2105,579,1251,1953,182,221,1941,1042,706
let-7g-3p,1223,296,276,1077,2515,1218,325,562,994,2655,388,158,321
let-7g-5p,702,426,2242,142,2912,940,2021,2047,1092,77,3187,774,1008
let-7i-5p,2157,1143,6181,535,6605,1930,9353,20516,3072,588,5280,3171,2475
miR-1,37,17,494,1720,131,32,77,19,8,27,379,283,27
miR-100-3p,31,0,14,1,125,23,5,39,6,0,47,21,0
miR-100-5p,3342,1784,11846,592,4834,5930,17905,25557,3728,1494,4425,12126,5556
miR-101-3p,2645,1348,15266,2097,11397,2244,13347,14131,2338,984,6945,3553,2617
miR-101-5p,163,133,377,91,471,140,480,839,223,271,216,92,88
miR-103a-2-5p,145,94,431,93,605,156,303,713,188,174,335,301,108
miR-103a-3p,1541,930,3847,169,5533,1598,2268,5410,1866,322,3725,659,841
miR-105-3p,0,0,46,17,196,0,1,135,8,26,23,30,25
miR-105-5p,23,25,124,12,226,13,13,411,49,100,105,20,53
miR-106a-3p,196,52,78,196,616,205,14,92,228,363,125,103,345
miR-106a-5p,371,215,782,272,3660,238,1734,1789,299,173,1844,349,173
miR-106b-3p,51,55,828,68,646,47,221,1168,58,52,309,309,133
miR-106b-5p,1576,778,4601,2794,9966,818,5567,9470,971,312,6913,2168,592
miR-107,1537,938,4542,263,5617,1287,2338,5387,1962,320,3382,600,468
miR-10a-3p,55,29,39,58,209,51,16,31,65,95,165,28,178
miR-10a-5p,26,6,56,397,86,34,76,115,33,44,135,300,95
miR-10b-3p,15,2,29,6,181,15,4,59,3,0,51,21,15
miR-10b-5p,36,3,139,562,128,7,78,1132,30,44,379,251,53
miR-1178-3p,20,0,30,16,43,7,1,59,35,29,63,6,49
miR-1178-5p,92,25,36,124,630,169,37,234,130,174,63,34,101
miR-1179,0,17,53,0,85,8,4,153,31,6,37,14,96
miR-1180-3p,210,181,1300,159,433,169,367,2559,339,85,81,328,310
miR-1180-5p,95,105,53,41,524,84,62,100,107,75,45,15,68
miR-1182,186,221,92,61,90,67,116,189,94,24,34,91,88
miR-1183,40,0,65,39,183,22,2,476,9,0,80,67,22
miR-1184,0,4,27,29,100,42,10,454,28,3,30,45,59
miR-1185-1-3p,12,0,11,0,54,0,1,30,11,0,25,0,5
miR-1185-2-3p,0,4,56,0,194,1,6,51,0,44,37,5,34
miR-1185-5p,114,53,296,41,130,143,43,84,130,60,10,19,209
miR-1193,0,8,6,5,122,10,10,116,7,23,63,34,16
miR-1197,31,6,182,0,280,15,4,53,29,5,78,0,52
miR-1199-3p,155,69,34,248,897,253,40,169,250,687,79,50,74
miR-1200,78,39,63,80,319,119,20,438,103,172,37,26,16
miR-1202,2374,872,590,4424,4877,1768,742,4694,1952,6374,945,912,414
miR-1204,24,1,36,14,196,16,6,321,15,33,29,41,61
miR-1205,22,0,37,7,186,45,4,193,21,57,33,23,48
miR-1206,14,0,3,3,170,6,3,18,4,0,33,0,0
miR-1207-3p,86,17,15,106,240,109,13,54,103,150,51,35,157
miR-1207-5p,26070,35172,7826,17711,23866,39015,17880,14473,49581,26229,11295,4833,5277
miR-1208,28,7,37,61,343,56,3,129,60,189,48,4,63
miR-1224-5p,356,766,465,130,611,272,249,1310,340,407,129,313,329
miR-1225-3p,800,414,997,907,2833,966,253,15840,741,1685,477,2437,341
miR-1225-5p,3844,3794,814,2198,3665,2407,2345,966,2267,4511,2752,1009,1830
miR-122-5p,58,10,48,21,130,39,13,71,35,79,14,54,98
miR-1226-3p,23,32,86,8,149,50,32,222,27,92,27,23,22
miR-1227-3p,217,82,178,202,664,203,50,2420,225,557,196,214,203
miR-1228-3p,307,200,370,278,936,330,256,3342,312,522,168,443,234
miR-1229-3p,160,71,181,209,442,198,58,2706,154,465,211,316,154
miR-1229-5p,220,328,296,103,88,235,284,618,183,59,108,179,183
miR-1231,156,61,1697,401,650,218,76,634,235,368,174,259,114
miR-1233-3p,17685,4001,315,20532,43169,34473,4229,6682,17474,40608,848,301,650
miR-1234-3p,947,352,233,907,2004,903,240,1886,776,2262,468,376,774
miR-1236-3p,39,9,27,20,253,67,9,462,26,82,48,83,83
miR-1236-5p,310,239,399,51,181,1026,876,343,312,145,379,144,119
miR-1237-3p,409,99,90,254,856,461,107,428,363,814,192,98,365
miR-1237-5p,208954,210763,64137,135205,53765,257756,217815,55232,156100,48866,60617,51005,123388
miR-1238-3p,79,11,72,100,337,100,20,432,44,191,66,87,68
miR-1238-5p,15,22,66,3,122,16,7,457,0,40,57,67,54
miR-1243,0,0,36,1,187,0,3,108,0,0,22,15,0
miR-124-3p,20835,23179,100559,571,9487,12137,25297,30582,36957,798,519,3252,19865
miR-1244,14,14,192,0,154,14,36,2982,0,28,90,394,103
miR-1245b-3p,13,2,6,6,63,4,0,17,11,22,30,5,58
miR-124-5p,146,133,258,63,383,129,95,354,175,84,56,65,114
miR-1247-3p,11661,2613,697,11889,25626,15744,2444,3686,10421,26742,1849,267,868
miR-1247-5p,773,179,174,928,1991,1315,302,320,801,1692,234,272,186
miR-1249,432,125,128,306,931,427,59,571,411,446,199,159,213
miR-1250-3p,62,16,21,75,227,75,9,80,100,260,46,17,14
miR-1250-5p,39,40,61,51,224,90,38,326,86,138,28,33,84
miR-1251-3p,31,4,29,23,376,45,7,243,27,54,41,43,10
miR-1252-3p,10,1,28,3,103,3,0,31,9,0,27,25,73
miR-1252-5p,0,2,17,5,155,12,0,10,1,0,23,0,62
miR-1253,31,9,38,34,240,7,16,206,2,40,28,16,54
miR-1254,783,1099,1798,779,2533,899,920,24904,711,876,894,4752,923
miR-1255b-2-3p,143,511,6248,363,4838,74,243,80417,154,230,535,10289,162
miR-1256,31,5,180,7,89,9,2,2439,10,14,50,141,68
miR-1257,0,0,28,19,136,0,0,32,0,0,46,0,34
miR-1258,0,14,26,9,28,0,14,29,0,0,49,8,22
miR-125a-3p,45,34,96,13,190,17,81,371,21,17,21,52,107
miR-125a-5p,3679,2712,9088,365,3415,5557,25371,6346,5446,886,2485,6883,4559
miR-125b-1-3p,79,59,217,23,314,122,206,1781,81,24,43,166,0
miR-125b-2-3p,146,36,176,59,322,210,64,383,111,273,114,87,139
miR-125b-5p,21208,14542,174382,2880,17854,26889,97054,130074,30612,4340,16433,65480,33201
miR-1261,15,3,4,9,226,7,4,12,20,0,42,0,54
miR-1262,8,15,34,11,65,5,36,6,9,22,107,6,64
miR-1263,7,1,31,4,119,7,3,133,0,35,0,20,12
miR-126-3p,691,414,1544,200,2291,1585,1088,3356,1761,564,3212,203,622
miR-1264,309,131,326,0,619,137,42,382,202,175,328,115,257
miR-1265,22,12,43,2,64,0,1,79,0,83,52,32,21
miR-126-5p,243,77,464,178,1002,349,329,1471,427,362,502,182,257
miR-1267,67,41,53,5,162,32,25,523,92,14,46,107,106
miR-1269a,34,13,67,30,400,18,5,531,55,49,26,48,52
miR-1269b,36,40,190,90,467,79,25,3358,77,163,73,239,60
miR-1270,28,13,102,3,139,41,13,381,1,35,64,92,61
miR-1271-5p,71,41,287,34,211,42,132,1657,95,23,56,255,28
miR-1272,0,3,42,0,44,0,0,276,4,21,45,79,39
miR-1273a,266,330,374,193,921,210,291,9714,161,79,239,884,19
miR-1273c,596,685,1308,309,1614,316,551,17654,396,339,643,4379,391
miR-1273d,10780,17150,27349,9320,23423,6938,13459,210017,8749,7139,12474,64003,12240
miR-1273e,2230,3913,6037,2611,8894,1523,3051,59243,2048,2187,3013,14966,1382
miR-1273g-5p,1126,1430,919,499,644,588,1366,4517,756,552,567,916,821
miR-1273h-5p,9313,13826,21389,7823,21074,5706,11341,288562,7471,5629,9343,66898,9097
miR-127-3p,509,437,1929,182,376,275,698,4756,555,79,136,1247,510
miR-1275,2185,2958,1436,846,1646,4842,4825,3922,2143,1164,687,763,1008
miR-127-5p,234,110,194,353,1001,300,81,631,396,658,117,159,245
miR-1276,21,16,34,27,320,29,12,102,29,40,11,20,0
miR-1277-5p,0,1,12,0,48,0,0,8,0,0,10,0,0
miR-1278,0,0,10,1,50,0,2,0,0,23,28,0,119
miR-1279,80,12,25,31,370,39,15,4,50,36,51,5,102
miR-128-1-5p,73,29,29,162,391,287,60,202,133,344,43,67,74
miR-1282,157,52,69,100,456,115,30,73,143,326,235,129,358
miR-128-2-5p,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1283,31,12,52,40,194,22,70,77,30,102,25,40,0
miR-128-3p,11005,8324,45849,131,8803,8042,5092,17938,20099,281,671,2129,11211
miR-1285-5p,764,1612,10854,1257,10864,418,738,136117,564,1455,2834,33810,554
miR-1287-3p,5,11,54,34,251,21,36,285,0,91,19,45,19
miR-1287-5p,1592,661,285,3734,4895,1706,749,853,1698,5891,228,538,815
miR-1288-3p,111,24,36,62,597,134,7,140,171,297,74,66,116
miR-1289,5,24,123,14,179,17,16,1809,24,49,45,135,28
miR-1290,1133,2229,46659,12909,5290,1852,24070,157327,1822,1427,5455,22756,1335
miR-1291,255,107,625,380,844,693,173,943,194,330,103,223,24
miR-129-1-3p,705,494,4153,116,584,415,587,1264,930,376,137,50,653
miR-129-2-3p,715,690,8929,103,663,631,780,2644,1568,321,237,253,1164
miR-1292-5p,13,32,12,32,261,34,36,77,22,118,32,14,56
miR-1293,14,4,14,1,55,9,9,138,6,14,18,3,53
miR-1294,0,4,36,25,111,20,5,121,18,11,26,27,0
miR-1295b-3p,6,3,19,14,167,0,1,36,16,25,28,0,0
miR-129-5p,826,608,2943,222,1063,671,462,1672,1335,1191,374,363,1087
miR-1296-3p,1156,280,137,1091,2769,850,195,254,1066,3113,258,75,271
miR-1296-5p,182,73,129,15,234,123,200,128,205,36,23,30,103
miR-1297,76,11,24,40,287,8,15,23,27,120,48,0,0
miR-1298-3p,111,82,261,34,540,124,17,254,87,261,213,49,217
miR-1298-5p,3372,1549,1041,78,8583,1562,301,1474,3088,4654,4508,784,3276
miR-1299,30,194,1785,119,1396,22,79,15146,21,159,149,2440,69
miR-1301-3p,128,81,300,10,217,58,120,274,123,46,128,77,160
miR-1301-5p,78,32,37,86,649,125,28,129,156,281,61,33,190
miR-1302,5,4,28,20,60,11,2,81,16,0,20,19,0
