gene,15635-37,15635-43,15635-45,15635-46,15635-53,15635-60,15635-68,15635-80,15635-87,15635-90,15635-100,15635-101,15635-127,15635-134,15635-154,15635-156,15635-239
CTRL_ANT1,16,35,122,41,6,12,99,56,76,69,0,39,16,28,9,45,24
CTRL_ANT2,16,60,139,60,20,68,86,87,77,52,17,30,6,50,30,14,24
CTRL_ANT3,22,49,145,99,3,43,36,97,97,76,26,21,19,19,3,36,77
CTRL_ANT4,25,60,95,68,27,102,99,461,88,110,20,33,73,64,26,15,92
CTRL_ANT5,5,47,127,49,5,35,60,47,98,68,18,23,16,4,11,23,24
CTRL_miR_POS,20225,51017,16810,58350,20365,87035,39440,7490,44954,20213,38373,19047,24390,47361,22451,37931,23781
HK_ACTB,27,30,145,95,39,58,79,77,45,67,195,17,33,302,5,75,105
HK_B2M,109,103,1535,239,302,199,748,150,262,175,3374,86,304,1665,55,837,223
HK_GAPDH,6245,12707,3414,29270,6065,19675,15361,17922,4624,5244,17375,8125,8055,12094,2794,2349,306
HK_PPIA,43,205,209,287,407,252,180,76,234,207,266,103,91,304,25,278,147
HK_RNU47,6,58,197,59,42,29,131,81,38,62,212,26,24,60,22,93,39
HK_RNU75,38,41,258,38,24,63,93,99,163,224,386,28,12,157,30,148,253
HK_RNY3,600,1509,3414,2679,4258,2152,4040,611,2021,1286,8086,842,1598,4518,732,2999,714
HK_RPL19,99,118,201,420,184,350,467,5601,107,250,489,119,125,563,20,69,171
HK_RPL27,33,69,125,284,114,213,223,92,78,137,282,33,46,205,40,165,120
HK_RPS12,69,142,151,389,500,236,460,77,165,207,380,120,97,299,120,354,153
HK_RPS20,43,73,107,76,15,58,96,78,59,54,113,43,23,118,23,36,37
HK_SNORA66,77,160,347,122,344,68,50,508,88,232,951,347,326,75,6,138,63
HK_YWHAZ,21,82,247,198,187,164,117,57,125,89,307,83,92,368,27,159,158
let-7a-2-3p,178,392,271,480,308,740,481,3358,579,305,353,241,201,345,48,124,169
let-7a-3p,69,167,179,43,18,73,79,89,85,81,26,70,63,93,50,129,67
let-7a-5p,7346,7696,17274,8435,7835,1372,18243,3032,8461,5942,26638,5121,9160,19679,8123,24836,10395
let-7b-5p,14492,8646,13174,8474,7391,4385,11043,2954,10568,10052,13114,12432,11201,9958,9454,16422,16530
let-7c-3p,22,45,106,100,25,36,128,189,113,16,34,18,44,54,16,66,71
let-7c-5p,10034,5420,8654,6568,5515,2655,8646,2462,7461,6369,10611,8041,8080,8204,6441,10746,10225
let-7d-3p,1569,1305,2827,1729,2022,775,3081,1069,2375,2024,3812,1417,1394,3225,1722,6929,3120
